,test_edge_hard.BO.x,test_edge_hard.BO.mean,test_edge_hard.BO.low,test_edge_hard.BO.high,test_edge_hard.Dummy.x,test_edge_hard.Dummy.mean,test_edge_hard.Dummy.low,test_edge_hard.Dummy.high,test_edge_hard.GA.x,test_edge_hard.GA.mean,test_edge_hard.GA.low,test_edge_hard.GA.high,test_edge_hard.Random.x,test_edge_hard.Random.mean,test_edge_hard.Random.low,test_edge_hard.Random.high,test_edge_hard.SGD.x,test_edge_hard.SGD.mean,test_edge_hard.SGD.low,test_edge_hard.SGD.high,test_edge_medium.BO.x,test_edge_medium.BO.mean,test_edge_medium.BO.low,test_edge_medium.BO.high,test_edge_medium.Dummy.x,test_edge_medium.Dummy.mean,test_edge_medium.Dummy.low,test_edge_medium.Dummy.high,test_edge_medium.GA.x,test_edge_medium.GA.mean,test_edge_medium.GA.low,test_edge_medium.GA.high,test_edge_medium.Random.x,test_edge_medium.Random.mean,test_edge_medium.Random.low,test_edge_medium.Random.high,test_edge_medium.SGD.x,test_edge_medium.SGD.mean,test_edge_medium.SGD.low,test_edge_medium.SGD.high,test_hard.BO.x,test_hard.BO.mean,test_hard.BO.low,test_hard.BO.high,test_hard.Dummy.x,test_hard.Dummy.mean,test_hard.Dummy.low,test_hard.Dummy.high,test_hard.GA.x,test_hard.GA.mean,test_hard.GA.low,test_hard.GA.high,test_hard.Random.x,test_hard.Random.mean,test_hard.Random.low,test_hard.Random.high,test_hard.SGD.x,test_hard.SGD.mean,test_hard.SGD.low,test_hard.SGD.high,test_realworld.BO.x,test_realworld.BO.mean,test_realworld.BO.low,test_realworld.BO.high,test_realworld.Dummy.x,test_realworld.Dummy.mean,test_realworld.Dummy.low,test_realworld.Dummy.high,test_realworld.GA.x,test_realworld.GA.mean,test_realworld.GA.low,test_realworld.GA.high,test_realworld.Random.x,test_realworld.Random.mean,test_realworld.Random.low,test_realworld.Random.high,test_realworld.SGD.x,test_realworld.SGD.mean,test_realworld.SGD.low,test_realworld.SGD.high,test_simple.BO.x,test_simple.BO.mean,test_simple.BO.low,test_simple.BO.high,test_simple.Dummy.x,test_simple.Dummy.mean,test_simple.Dummy.low,test_simple.Dummy.high,test_simple.GA.x,test_simple.GA.mean,test_simple.GA.low,test_simple.GA.high,test_simple.Random.x,test_simple.Random.mean,test_simple.Random.low,test_simple.Random.high,test_simple.SGD.x,test_simple.SGD.mean,test_simple.SGD.low,test_simple.SGD.high
0,0.0,-49.999999999497454,-49.99999999952139,-49.99999999947219,0.0,-49.99999999948633,-49.999999999511495,-49.99999999946219,0.0,-49.999999999507224,-49.999999999533756,-49.99999999948277,0.0,-49.95583999949227,-49.999999999501284,-49.77919999949362,0.0,-49.87011999949828,-49.999999999495394,-49.49927240904048,0.0,-49.99999999948407,-49.999999999508624,-49.99999999945882,0.0,-49.999999999506926,-49.99999999953304,-49.99999999948175,0.0,-49.99999999949982,-49.999999999524476,-49.99999999947352,0.0,-49.999999999526025,-49.99999999955082,-49.99999999949892,0.0,-49.878979999490994,-49.99999999948786,-49.575834492580825,0.0,-49.99999999949793,-49.9999999995222,-49.99999999947295,0.0,-49.70845999949929,-49.891519999495394,-49.406260344208505,0.0,-49.99999999952207,-49.999999999547235,-49.9999999994992,0.0,-49.9394199995047,-49.99999999951374,-49.676895184562476,0.0,-49.68307999950435,-49.876781081621736,-49.313431320599385,0.0,-49.999999999458005,-49.99999999950761,-49.99999999940473,0.0,-49.99999999954079,-49.99999999959432,-49.999999999487606,0.0,-48.876962962522676,-49.58676815209026,-47.57125384055336,0.0,-49.38348148101853,-49.8410370365771,-48.26311087817869,0.0,-48.69785185135968,-49.440888888418044,-47.39878001416822,0.0,-19.83773333282536,-19.9723641771229,-19.536087514007395,0.0,-19.573533332780336,-19.80697394047562,-19.240733332780195,0.0,-19.58113333284574,-19.906866666171,-19.200792771941725,0.0,-19.551799999506546,-19.82923066860537,-19.192932435616566,0.0,-19.240533332848646,-19.736383846617088,-18.785508160912872
1,30.0,-49.66853999948728,-49.87745999947688,-49.257045093674805,30.0,-49.99999999951397,-49.99999999953896,-49.99999999949,30.0,-49.64169999950083,-49.85616748160256,-49.2856330722901,30.0,-49.6983399994947,-49.88469999950833,-49.31252393335372,30.0,-49.62383999948303,-49.863899999486016,-49.2365820013607,30.0,-49.42239999949586,-49.70842072173458,-48.91012731939253,30.0,-49.999999999486256,-49.99999999951406,-49.99999999946078,30.0,-49.226319999467215,-49.58904171983343,-48.66898721785154,30.0,-49.432819999487066,-49.722322249803646,-49.00971468505604,30.0,-49.555799999503584,-49.802889192712556,-49.124835086041465,30.0,-48.895839999506684,-49.2777701654325,-48.367163846928925,30.0,-49.393039999508446,-49.67529290794329,-48.92293255973495,30.0,-49.31611999949309,-49.60707830018532,-48.85906835538308,30.0,-49.5530999994733,-49.785252193824654,-49.13075047870555,30.0,-49.162199999509596,-49.53690633584111,-48.70140221361394,30.0,-44.69066666615814,-46.33128450391801,-42.511413152154546,30.0,-49.99999999950159,-49.99999999954657,-49.99999999945267,30.0,-45.20977777723086,-46.84192655349685,-43.068706468894966,30.0,-45.456740740244726,-47.00340023541555,-43.50011755351257,30.0,-44.68681481433408,-46.356268195708786,-42.5509122863056,30.0,-16.50659999948943,-16.975715423165717,-15.932177960606523,30.0,-18.637133332843216,-19.012578747191796,-18.155474953106797,30.0,-16.803399999470837,-17.31036310367372,-16.29473140621241,30.0,-16.67719999950665,-17.17877202598846,-16.123263964059724,30.0,-16.919866666172602,-17.467529510098153,-16.428781835881725
2,60.0,-49.51579999950646,-49.76443410256202,-49.0553624135618,60.0,-49.99999999948671,-49.999999999513186,-49.99999999946028,60.0,-49.19173999948516,-49.54676272985376,-48.69132577518612,60.0,-49.30239999950044,-49.61964386679652,-48.76608034166992,60.0,-49.14859999949798,-49.51915149158849,-48.551753104264364,60.0,-49.04931999951689,-49.44534426341982,-48.53174765782773,60.0,-49.999999999503636,-49.99999999953077,-49.99999999947848,60.0,-48.40557999949441,-48.90489372024411,-47.729457268854866,60.0,-48.59639999951106,-49.06639971326377,-47.97279228831759,60.0,-49.221039999501144,-49.56175361443119,-48.660034783990575,60.0,-47.67839999950693,-48.22167831718585,-46.90946560280665,60.0,-48.708039999507164,-49.12571174212365,-48.16533110127296,60.0,-48.62561999950444,-49.03346151238946,-48.04322134591804,60.0,-48.55025999949633,-49.030094606917885,-47.98631080956458,60.0,-48.10097999951676,-48.62385663959012,-47.459247596231116,60.0,-40.30822222171449,-42.59756743988214,-37.745196569577985,60.0,-49.999999999451596,-49.99999999950078,-49.99999999940562,60.0,-40.40133333281023,-42.715625815474674,-37.88307472553923,60.0,-42.17733333285179,-44.11802301037093,-39.73128483920997,60.0,-40.94081481435395,-43.03955451809448,-38.5852399206762,60.0,-14.887266666185647,-15.391344685620211,-14.43307078485892,60.0,-17.751333332777048,-18.25529708117759,-17.207544908085712,60.0,-14.906466666161128,-15.418564454015154,-14.452466363464918,60.0,-15.067199999539813,-15.585424313219153,-14.54338445584427,60.0,-15.091866666172859,-15.651181219125561,-14.57446782240977
3,90.0,-49.2391199994884,-49.578986612150466,-48.64643648652474,90.0,-49.99999999950495,-49.999999999532406,-49.99999999948277,90.0,-48.73837999951079,-49.17571384775697,-48.1101309049406,90.0,-48.80631999950418,-49.232880078521205,-48.14849366561263,90.0,-48.52645999951245,-49.02929159599834,-47.82652127585627,90.0,-48.708779999484335,-49.186341768947365,-48.08409399846485,90.0,-49.99999999949802,-49.99999999952427,-49.99999999947359,90.0,-48.00179999951168,-48.60303695297209,-47.220654267740876,90.0,-48.021179999495295,-48.626783576748544,-47.3201057255129,90.0,-49.026219999499965,-49.413846147484804,-48.44424305221281,90.0,-46.77039999949692,-47.414256890054155,-45.936789805635684,90.0,-48.2568599995036,-48.72953969504018,-47.66013295918567,90.0,-47.92649999949711,-48.48125180595544,-47.2484811989718,90.0,-47.486299999519915,-48.096008266669074,-46.726562336346625,90.0,-46.81671999949384,-47.51752982770974,-45.99093867733384,90.0,-37.42251851801997,-39.6501977064723,-34.86082278772694,90.0,-49.999999999497085,-49.99999999954554,-49.999999999447745,90.0,-36.79918518467177,-39.363102055459315,-34.220489482087835,90.0,-39.50866666616743,-41.7070715646137,-37.07586322766407,90.0,-37.47266666621612,-39.84741727360856,-34.8695074868554,90.0,-14.069466666137314,-14.555850250471414,-13.640760463108498,90.0,-17.3525999995139,-17.879009014281092,-16.771331692609824,90.0,-13.883133332866898,-14.366524944369747,-13.491046195758743,90.0,-13.786533332813066,-14.189142301671751,-13.400283621152155,90.0,-14.076599999539702,-14.582101761155364,-13.630911108025586
4,120.0,-48.97177999948426,-49.37035313467432,-48.319540468590574,120.0,-49.99999999950898,-49.999999999536364,-49.99999999948309,120.0,-48.06633999949418,-48.600240351944215,-47.272308300410664,120.0,-48.649059999511636,-49.112976968230356,-47.97138484125917,120.0,-48.030079999479035,-48.643947148562646,-47.27405306955712,120.0,-48.57983999948173,-49.08269207663011,-47.91473825724309,120.0,-49.99999999946869,-49.99999999949524,-49.99999999944535,120.0,-47.4517799995061,-48.14667356913858,-46.58782172180834,120.0,-47.74273999951287,-48.351177993508436,-46.94125786400023,120.0,-48.71543999952291,-49.17174641467545,-48.07891804999507,120.0,-46.32129999946382,-47.053352986150564,-45.43325643817749,120.0,-48.09823999948923,-48.603999690211346,-47.435117806793635,120.0,-47.35771999948934,-47.95483864432617,-46.624467107870885,120.0,-46.99987999949741,-47.68514189230524,-46.26398726626021,120.0,-46.03489999952218,-46.775593611776756,-45.13993096950268,120.0,-34.43014814763626,-36.936412860773125,-31.868507988019292,120.0,-49.99999999952738,-49.999999999573525,-49.99999999948117,120.0,-34.06037036987687,-36.787330756558525,-31.41819625548237,120.0,-37.57607407356422,-40.041407858043776,-34.97339125103845,120.0,-34.841925925458575,-37.36834484737893,-32.280285830661185,120.0,-13.529133332852172,-14.005314689164273,-13.123841834614934,120.0,-17.079733332839936,-17.658788357526433,-16.496063581949056,120.0,-13.105066666161747,-13.517409793144934,-12.730553294817431,120.0,-13.177799999490459,-13.58949705296582,-12.822562607989093,120.0,-13.328666666180446,-13.773933332842665,-12.933440878908552
5,150.0,-48.85631999948257,-49.289002294458605,-48.1994585476767,150.0,-49.99999999949587,-49.999999999520256,-49.999999999470504,150.0,-47.69963999947735,-48.3297181382015,-46.78136384676929,150.0,-48.347359999517096,-48.892699535131705,-47.61738880286467,150.0,-47.86293999950258,-48.50728714981625,-47.10979670380417,150.0,-48.450399999512506,-48.986205511452,-47.76229396952186,150.0,-49.999999999492935,-49.99999999951849,-49.99999999947027,150.0,-47.26215999947042,-48.00106176513564,-46.40793019303299,150.0,-47.47917999952188,-48.14121992840236,-46.644440418060775,150.0,-48.408919999502956,-48.95182872125311,-47.765920596662056,150.0,-45.58035999951225,-46.40217014012491,-44.64753337805472,150.0,-47.76741999949625,-48.318799671967774,-47.10323326180537,150.0,-46.85277999949781,-47.50285645595137,-46.06028026444455,150.0,-46.40735999950858,-47.17188580806632,-45.6494231297084,150.0,-45.45353999950485,-46.27669080960283,-44.4903341186172,150.0,-32.94066666616714,-35.37848442357159,-30.248690385971642,150.0,-49.999999999586414,-49.9999999996395,-49.999999999538005,150.0,-31.680222221679664,-34.37435983084204,-29.238093851142427,150.0,-35.39029629581447,-38.01486584550825,-32.74727377733241,150.0,-33.94451851802844,-36.457303595811126,-31.149866866736108,150.0,-13.081133332824953,-13.558626091155878,-12.677635595261409,150.0,-16.874333332814114,-17.450583172025567,-16.23606515828404,150.0,-12.677799999490889,-13.044588682307838,-12.335686028000682,150.0,-12.760333332813856,-13.161893449685614,-12.421100870494021,150.0,-12.984199999509526,-13.46782011828337,-12.607472410055074
6,180.0,-48.690779999516415,-49.16692255657378,-48.03441213814405,180.0,-49.99999999948667,-49.99999999951211,-49.99999999946077,180.0,-47.678839999512675,-48.30873157819597,-46.75104251202393,180.0,-48.14501999952671,-48.74667576472002,-47.36918545257294,180.0,-47.59499999950636,-48.29727659718681,-46.8255361071361,180.0,-48.12531999952092,-48.71614529526752,-47.38867476958327,180.0,-49.9999999995099,-49.99999999953401,-49.999999999483556,180.0,-46.973559999495706,-47.725019772635044,-46.08405571141793,180.0,-47.19393999951465,-47.87164960638049,-46.30108667764712,180.0,-47.9483999995177,-48.59965409052841,-47.23512063879619,180.0,-44.936399999498484,-45.81690237587793,-43.98463497713523,180.0,-47.49977999950102,-48.07957368454846,-46.771444054029786,180.0,-46.37593999949885,-47.08635794339544,-45.47055256209297,180.0,-46.059199999491966,-46.81737819010553,-45.19363235300526,180.0,-44.924779999512396,-45.75747861166434,-43.939754436255136,180.0,-31.319999999512294,-33.77344593417271,-28.65135495033678,180.0,-49.99999999951393,-49.99999999955964,-49.99999999946817,180.0,-30.749999999484668,-33.53024100126831,-28.194724129032203,180.0,-32.93274074024691,-35.824901524637106,-30.41458473975314,180.0,-31.4309629624656,-33.81607501021882,-28.719002542881903,180.0,-12.74686666618397,-13.134546876258574,-12.360048361409874,180.0,-16.719199999510362,-17.32358433608763,-16.09668061667294,180.0,-12.394199999470349,-12.761015718048712,-12.064399999482104,180.0,-12.53159999947369,-12.912975039394622,-12.208468082414791,180.0,-12.571799999478124,-12.962274991468405,-12.229782888723221
7,210.0,-48.68673999951197,-49.17297555941419,-48.028422755305755,210.0,-49.99999999947731,-49.99999999950017,-49.99999999944876,210.0,-47.4697799995031,-48.13065691679927,-46.550256924532,210.0,-47.818459999522986,-48.43171105540763,-46.98748125790914,210.0,-47.539719999511505,-48.23565835411563,-46.761464640864574,210.0,-48.05803999948643,-48.639266381911,-47.27534667164129,210.0,-49.9999999995151,-49.999999999540016,-49.99999999949211,210.0,-46.60553999950836,-47.40258223591632,-45.68053440706531,210.0,-46.78575999951354,-47.48907935202042,-45.78237806724114,210.0,-47.744499999488426,-48.37442477452859,-47.00002423932512,210.0,-44.455939999519856,-45.35180327643956,-43.52168509566438,210.0,-47.13599999949129,-47.72379484572055,-46.34695333837294,210.0,-45.87587999952097,-46.723170266803145,-45.0062375540683,210.0,-45.33873999951284,-46.16773059038579,-44.460623809882186,210.0,-44.46781999951161,-45.32138524587188,-43.460349308626654,210.0,-29.749111110588057,-32.351596093889235,-27.285598870315482,210.0,-49.99999999948622,-49.99999999953688,-49.99999999943123,210.0,-28.94540740689567,-31.468225554863203,-26.482228874413646,210.0,-31.68274074023406,-34.52288597786547,-29.092162809834626,210.0,-29.77755555510457,-32.32300549181787,-27.208501963039485,210.0,-12.612199999503224,-12.995419208486483,-12.268751999884143,210.0,-16.558399999519565,-17.205519834699846,-15.931084248658896,210.0,-12.23486666617572,-12.62072350993422,-11.93180375213508,210.0,-12.28999999949863,-12.671335613280476,-11.977046998374423,210.0,-12.427266666200268,-12.819260899113821,-12.085459483615084
8,240.0,-48.68215999950452,-49.16865638736917,-48.01924591433761,240.0,-49.99999999950607,-49.99999999953178,-49.99999999947982,240.0,-47.20523999949958,-47.91183665352995,-46.26551686827991,240.0,-47.706319999495975,-48.362565882962755,-46.83537349892454,240.0,-47.46651999949103,-48.19225534476352,-46.66898015921251,240.0,-47.99563999950694,-48.60609547791532,-47.23683416784266,240.0,-49.99999999949927,-49.99999999952562,-49.99999999947488,240.0,-46.40107999948928,-47.25508553923279,-45.438895234792085,240.0,-46.44011999948732,-47.18468513036354,-45.522548646250975,240.0,-47.24791999950251,-47.988245524220176,-46.482265799658826,240.0,-43.9632199995093,-44.87221756592338,-42.93619114506488,240.0,-46.875599999489175,-47.47940587817895,-46.076579263929155,240.0,-45.48151999949115,-46.30532543774096,-44.597830570797846,240.0,-45.04233999948161,-45.901704755231236,-44.15187301861288,240.0,-43.86181999950095,-44.73990869517981,-42.84996183185603,240.0,-27.813111110655772,-30.525606438098027,-25.517773144114795,240.0,-49.99999999949565,-49.99999999954105,-49.999999999445485,240.0,-27.840814814327164,-30.333252674627808,-25.39470780995707,240.0,-30.017259258780744,-32.65382023832371,-27.400451535258213,240.0,-28.75237036987138,-31.222892858526446,-26.1922435156322,240.0,-12.468733332839847,-12.849330179811366,-12.129181851567767,240.0,-16.42379999948574,-17.07342653905146,-15.817929156010145,240.0,-12.03066666618335,-12.38741437796611,-11.707878278878608,240.0,-12.183799999539112,-12.590819208753134,-11.87746880392991,240.0,-12.209133332812458,-12.621185631601048,-11.87874634355346
9,270.0,-48.68215999950903,-49.168656387355064,-48.019245914343806,270.0,-49.999999999524796,-49.99999999955104,-49.999999999499174,270.0,-47.11031999950223,-47.873697196395284,-46.18383908039057,270.0,-47.52111999949622,-48.24796511614197,-46.67110637191174,270.0,-47.321099999520825,-48.08362362386887,-46.520574916206336,270.0,-47.94593999949108,-48.55896406641569,-47.16639260550272,270.0,-49.9999999994929,-49.99999999951776,-49.99999999946793,270.0,-46.05145999948234,-46.89937951560205,-45.04358846868562,270.0,-46.207459999518434,-47.039187082599,-45.22585102381136,270.0,-47.23967999950799,-47.98532491884329,-46.46893241919888,270.0,-43.49969999950828,-44.50491342289493,-42.444887350559746,270.0,-46.599199999490786,-47.26958653843512,-45.80647706014507,270.0,-45.02675999949167,-45.889507085098835,-44.1151178033416,270.0,-44.64007999948086,-45.503261276621586,-43.6804887614141,270.0,-43.31877999950782,-44.2214911418214,-42.28065521641372,270.0,-27.259629629121477,-30.058960243966087,-24.91478093838804,270.0,-49.999999999473054,-49.99999999952224,-49.99999999942388,270.0,-27.104888888441963,-29.63710740223174,-24.805700916239456,270.0,-28.757999999468083,-31.309204072891,-26.236307440138333,270.0,-28.192296295812245,-30.649037207863476,-25.69370385808629,270.0,-12.388266666158572,-12.763578083788639,-12.053005735325849,270.0,-16.351333332845396,-17.016251704805935,-15.7507715180333,270.0,-11.912733332858604,-12.27359417915455,-11.610063837429603,270.0,-12.034066666193443,-12.409914364834378,-11.724542436422942,270.0,-12.034466666172777,-12.432103285657938,-11.730199961861668
